ai_method,benefits,date_added,email,organisation,origin,owning_team,scrape_date,source_note,source_url,status,tool_name,usecase
"Natural Language Processing, Large Language Model, Retrieval-Augmented Generation","The chatbot provides users with responses quickly by searching across 1000 files in seconds, which would take a human days. It provides an improved user experience by allowing the user to avoid searching and reviewing multiple documents to find their answer. Benefits include accuracy, as the chatbot can accurately recall information of relevance and not miss content. The Current operations team believe that 90% of the frequently asked questions to their human-based team could be answered by the chatbot.",17/12/2024,analysis@digital.cabinet-office.gov.uk,Department for Science Innovation and Technology,gov.uk,Functional Data & Analytics,,Information extracted from the Algorithmic Transparency Record for the Ask Ops Chatbot tool published on GOV.UK,https://www.gov.uk/algorithmic-transparency-records/dsit-ask-ops-chatbot,pilot,Ask Ops Chatbot,Conversational AI
"Large Language Model, Retrieval-Augmented Generation","User research shows that Assist users on average save around 3 hours per week by using the tool. Assist also ensures that outputs automatically adhere to GCS best practice and standards. 98% of users state that Assist is useful in helping them to perform their role. A further benefit of Assist is the upskillling it brings for communicators in their AI capabilities, which will bring further dividends as they utilise AI tools elsewhere in their day-to-day work.",04/06/2025,ai.gcs@cabinetoffice.gov.uk,Cabinet Office,gov.uk,Applied Data and Insight,,Information extracted from the Algorithmic Transparency Record for Cabinet Office: Assist published on GOV.UK,https://www.gov.uk/algorithmic-transparency-records/cabinet-office-assist,live,Assist,Conversational AI
Other,"Efficiency/cost avoidance: automates previously manual processes. Consistency and accuracy: automation is more accurate than humans, with error rate < 0.6% vs ~1% for humans. Speed: can review several million files per year vs 200,000 for human reviewers.",29/02/2024,dkim-cdio@cabinetoffice.gov.uk,Cabinet Office,gov.uk,Digital Knowledge and Information Management Team,,Lexicon-based algorithm using ElasticSearch to automate identification of digital records for retention or disposal.,https://www.gov.uk/algorithmic-transparency-records/cabinet-office-automated-digital-document-review,live,Automated Digital Document Review,Document Intelligence
"Natural Language Processing, Machine Learning","The tool allows the Department to get a quick and immediate overview of the issues being raised by businesses. The tags applied by the tool are available the day after the BI is entered into the CRM software, and can be viewed by anyone in the department.",28/04/2025,ai.governance@businessandtrade.gov.uk,Department for Business and Trade,gov.uk,"Digital, Data and Technology: Data Science Team",,AI tool for tagging business intelligence subjects used by the Department for Business and Trade.,https://www.gov.uk/algorithmic-transparency-records/dbt-business-intelligence-bi-subject-tagger,live,Business Intelligence (BI) Subject Tagger,Document Intelligence
Machine Learning,"Reduced fuel consumption, improved efficiency, lower carbon emissions",,,Birmingham City Council,"Birmingham, UK",Birmingham City Council,,"AI system optimizes waste collection routes for bin lorries, reducing fuel consumption and emissions.",https://www.birmingham.gov.uk/news/article/1243/new_ai_helps_bin_lorries_go_greener,live,AI-powered bin lorries,Other
"Machine Learning, Other","Provides real-time overview of 800 beds, helps staff make quick and informed decisions, anticipates and resolves bottlenecks, reduces patient length of stay, increases A&E efficiency, ensures optimal ward placement, reduces non-emergency surgery cancellations, allows staff to spend more time on care delivery",,communications@bthft.nhs.uk,Bradford Teaching Hospitals NHS Foundation Trust,bradfordhospitals.nhs.uk,Bradford Teaching Hospitals NHS Foundation Trust,,Europe's first hospital command centre using AI at Bradford Royal Infirmary. Improves patient care and hospital efficiency.,https://www.bradfordhospitals.nhs.uk/command-centre/,live,Command Centre,Decision Support
Computer Vision,"Catch undiagnosed spinal fractures, which can be a marker for osteoporosis. Patients will be directed to fracture prevention programmes to reduce future fracture risks.",,,Zebra Medical Vision,england.nhs.uk,Zebra Medical Vision,,Phase 4 winner of the Round 2 AI in Health and Care Awards,https://www.england.nhs.uk/aac/what-we-do/how-can-the-aac-help-me/ai-award/round-2-ai-in-health-and-care-awards/,pilot,Bone Health Solutions,Health AI
Machine Learning,"Helps health professionals identify individuals at risk of unplanned hospital admission in the next year. A successful pilot in Somerset care homes reduced resident falls by 35%, Emergency Department attendances by 60%, and ambulance callouts by 8.7%.",,somicb.enquiries@nhs.net,NHS Somerset,NHS,,,"Brave AI uses ML to identify patients at risk of unplanned hospital admission, being rolled out in SW England.",https://nhssomerset.nhs.uk/about-us/digital-projects/using-artificial-intelligence-to-monitor-wellbeing-brave-ai/,live,Brave AI,Predictive Analytics
"Machine Learning, supervised",Categorises local authorities into groups based on shared factors influencing the cost of waste collection,27/08/2025,,Department for Environment Food and Rural Affairs,gov.uk,"Department for Environment, Food and Rural Affairs",,"Ministerial department, Environmental protection function, Private Beta phase, UK region",https://www.gov.uk/algorithmic-transparency-records,pilot,Local Authority Waste Collection Cost Groupings,Other
Other,"Provides free, accessible financial management support (5-10 minute completion time), offers structured guidance across all financial aspects (income, bills, investments, insurance), supports informed financial decision-making through personalised recommendations, enables users to identify areas for financial improvement, helps prevent financial oversights through comprehensive categorisation, facilitates long-term financial planning through data-driven insights",10/02/2025,atrs.enquiries@maps.org.uk,Money and Pensions Service,gov.uk,Technology and Change,,Information extracted from the GOV.UK Algorithmic Transparency Record for the Money and Pensions Service Budget Planner tool.,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-budget-planner,live,Budget Planner,Decision Support
Other,"CARS(V) improves efficiency in the process of handling applications by determining its likely complexity which can in turn be allocated to the appropriate grade of decision maker or for directive enrichment. By understanding operational complexity, this enables resource and planning to better determine required resources.",17/12/2024,public.enquiries@homeoffice.gov.uk,Home Office,gov.uk,"Central Services team, Cross Cutting Service Operations, Visa, Status and Information Services, UK Visas and Immigration",,CARS(V) is a semi-automated workflow routing solution for identifying complexity of visitor visa applications.,https://www.gov.uk/algorithmic-transparency-records/home-office-complexity-application-routing-solution-visits,live,Complexity Application Routing Solution - Visits (CARS(V)),Workflow Automation
Natural Language Processing,"Improve how AI technologies work in Welsh, contribute open data archives to the research community, improve linguistic performance of AI models and applications in Welsh",25/06/2024,,Welsh Government,wales.gov,Welsh Government,,Welsh Government partners with OpenAI to improve Welsh language capabilities in AI technologies like ChatGPT.,https://www.gov.wales/chatgpt-learns-welsh,pilot,ChatGPT in Welsh,Conversational AI
Other,"Developing AI products to tackle challenges faced by charities and public sector organizations, including cancer risk detection for rescue workers, administrative support for teachers, environmental monitoring, and business growth support",10/02/2025,,Scottish Government,gov.scot,Scottish Government,,The Scottish Government's CivTech programme has awarded up to £9 million to 14 companies developing AI products.,https://www.gov.scot/news/improving-lives-through-ai/,pilot,CivTech 10,Other
"Large Language Model, Natural Language Processing",Providing users with far faster responses and signposting for their written enquiry questions.,17/12/2024,Digital.Services@fcdo.gov.uk,Foreign Commonwealth and Development Office,gov.uk,Consular Services Department,,Tool uses Azure Cognitive Services and OpenAI GPT models to process user queries and provide responses to consular enquiries.,https://www.gov.uk/algorithmic-transparency-records/fcdo-consular-digital-triage-written-enquiries-llm,pilot,Consular Digital Triage - Written Enquiries LLM,Conversational AI
"Large Language Model, Natural Language Processing","The key benefits are improving the consultation process making it more likely for the public's voice to be heard and to influence policy, productivity gains for civil servants and reduced costs (including on consultants). Consult reduces the burden on civil servants to compile and categorise consultation responses, empowering analysts to dive deeper into the data and focus more on in-depth consultation analysis. It makes the consultation process faster, less prone to human error, and potentially increases the number of consultations that can be run. The tool is 400 times cheaper and over 120 times quicker than manual analysis.",14/05/2025,consult@cabinetoffice.gov.uk,Department for Science Innovation and Technology,ai.gov.uk,Incubator for AI,,"DSIT Consult tool: Pre-deployment phase, uses GPT-4o on Azure Open AI for consultation analysis.",https://ai.gov.uk/projects/consult/,pilot,Consult,Document Intelligence
Other,"Reduced manual effort, improved customer experience, increased efficiency, reduced errors",,,Coventry City Council,gov.uk,Adult Social Care,,Project listed in Coventry City Council AI and Automation Programme document,https://edemocracy.coventry.gov.uk/documents/s59295/Appendix%201.pdf,live,Adult Social Care - Financial Assessment Automation,Workflow Automation
Not AI,"Outlines practical steps for the Crown Prosecution Service to achieve its 2025 strategic goals, focusing on people, digital capability, strategic partnerships, casework quality, and public confidence",06/07/2020,,Crown Prosecution Service,gov.uk,Crown Prosecution Service,,"CPS Business Plan 2020-21 outlines goals for Crown Prosecution Service, focusing on CPS 2025 strategy implementation.",https://www.cps.gov.uk/publication/cps-business-plan-2020-21,live,CPS Business Plan 2020-21,Not AI
Large Language Model,"Helps residents find answers to council tax questions more quickly and easily, speeds up response times, frees up staff time for complex queries, improves customer experience",22/04/2025,press@croydon.gov.uk,Croydon Council,news.croydon.gov.uk,Croydon Council,,"AI Assistant trial on council tax pages, based on Microsoft Copilot. Positive testing results, informing wider rollout.",https://news.croydon.gov.uk/ai-assistant-trial-to-help-residents-find-council-tax-information-quicker-and-easier-online/,live,AI Assistant,Conversational AI
Machine Learning,"Provides academic researchers with linked datasets across the Justice system (courts, prisons and probation) where individuals can be identified with a single, universal ID. Enables unprecedented analysis of repeat users of the same services and cross-cutting analysis across multiple services.",17/12/2024,datafirst@justice.gov.uk,Ministry of Justice,gov.uk,Data First,,"Probabilistic data linkage tool for linking Justice system datasets, developed by MoJ's Internal Data Linking team.",https://www.gov.uk/algorithmic-transparency-records/moj-data-first-splink,live,Data First (Splink),Predictive Analytics
Other,"Reduces simple queries from reaching customer service teams, provides a simpler customer journey, saves time for agents to focus on complex queries, improves customer satisfaction, and provides cost savings by reducing contact with outsourced contact centers.",04/04/2025,programme.improvement@education.gov.uk,Department for Education,gov.uk,Programme Improvement,,Virtual assistant using predefined paths for simple queries. Future plans may include AI incorporation.,https://www.gov.uk/algorithmic-transparency-records/dfe-virtual-assistant-for-education-providers-and-learners-davina,live,Virtual Assistant for Education Providers and Learners (Davina),Conversational AI
Machine Learning,"Detects early signs of kidney failure, alerts clinicians to patients at risk of acute kidney injury (AKI), saves nurses up to two hours daily, allows more face-to-face time with patients, enables quicker response to patient deterioration, monitors kidney function, detects kidney failure early, and accelerates patient recovery",27/02/2017,,Royal Free London NHS Foundation Trust,royalfree.nhs.uk,Royal Free London NHS Foundation Trust,,App alerts staff to AKI risk patients. Used by 26+ staff at Royal Free Hospital. Expanding to cover sepsis and organ failure.,https://www.royalfree.nhs.uk/news/new-app-helping-improve-patient-care,live,Streams,Decision Support
"generativeAI, Large Language Model","Supports teachers in planning lessons, building classroom quizzes, and reducing workloads. Helps create individualised content tailored to teaching pupils based on high-quality curriculum content.",30/10/2023,,UK Government,gov.uk,Department for Education,,Press release announcing £2M investment in Oak National Academy AI tools for teachers.,https://www.gov.uk/government/news/new-support-for-teachers-powered-by-artificial-intelligence,pilot,Oak National Academy AI Tools,Document Intelligence
Other,"The tool will identify cases where a further human review is required, without the need for manual intervention. Reports on around 25,000 insolvent companies are currently passed through the rules engine each year and this identifies approximately 8,500 to 9,000 cases for initial investigation. Without the rules engine, significant resource would be required to look at the content of each completed report to assess if there were potential conduct issues.",28/04/2025,DCAS@insolvency.gov.uk,The Insolvency Service,gov.uk,Compliance and Targeting,,"Rules engine processes reports to identify potential conduct issues in insolvency cases, reducing manual review.",https://www.gov.uk/algorithmic-transparency-records/insolvency-service-director-conduct-reporting-service-rules-engine,live,Director Conduct Reporting Service - Rules Engine,Decision Support
Machine Learning,"More accurate predictions of harm, well-defined view of risk being predicted, defined prediction window, known error level, use of more information in risk assessment, feedback mechanisms for model accuracy and officer actions, testing of preventative measures, improved data quality",29/02/2024,VRUTechnicalSupport@thamesvalley.police.uk,Hampshire Constabulary and Thames Valley Police,gov.uk,Thames Valley Violence Reduction Unit Data and Targeting Team,,Information extracted from GOV.UK algorithmic transparency record for DARAT tool,https://www.gov.uk/algorithmic-transparency-records/hampshire-and-thames-valley-police-darat,pilot,DARAT (Domestic Abuse Risk Assessment Tool),Decision Support
"unsupervised, supervised","The primary benefits of the tool is that it produces an estimated dataset that covers a broad range of use cases, where WCC have little to no existing data. It fills a gap in EPC data for around 100,000 homes in Warwickshire, helping to improve outcomes for citizens while covering a broad range of services for Warwickshire Council. It provides substantial value for money compared to manual EPC assessments.",28/01/2025,businessintelligence@warwickshire.gov.uk,Warwickshire County Council,gov.uk,Data Science,,"Tool estimates EPC data for 100k Warwickshire homes, improving council services and citizen outcomes.",https://www.gov.uk/algorithmic-transparency-records/warwickshire-county-council-domestic-epc-estimates,live,Domestic EPC Estimates,Predictive Analytics
Other,"This tool reduces the time taken to conclude cases, improves the aim for cases to meet 100% accuracy, undertakes automatic updates to drivers system records, reduces the process time when compared to the existing casework system. The tool further reduces the risk of data breaches as it reduces the number of manual processes as well as reduces customer address discrepancies held between existing systems. This will improve road safety concerns.",29/05/2025,DMATRS@DVLA.GOV.UK,Driver and Vehicle Licensing Agency,gov.uk,Drivers Medical Group,,Information extracted from the Algorithmic Transparency Record for DVLA's Drivers Medical Casework System,https://www.gov.uk/algorithmic-transparency-records/dvla-drivers-medical-casework-system,pilot,Drivers Medical Casework System,Decision Support
"Large Language Model, Natural Language Processing","Improved efficiency by helping generate quick insights through summarisation and information retrieval, reducing time and effort required. Enhances productivity in routine tasks like drafting and summarisation of documents. Facilitates tasks that may seem unmanageable when performed manually, such as sifting through massive volumes of information across numerous documents.",28/04/2025,redbox-copilot@cabinetoffice.gov.uk,Department for Science Innovation and Technology,gov.uk,Incubator for AI,,AI assistant for UK civil servants using large language models to assist with daily tasks.,https://ai.gov.uk/projects/redbox/,pilot,Redbox,Document Intelligence
"unsupervised, Machine Learning","Helps catch fraudulent MOT testers, improves road safety, allows flexible and evolving risk rating approaches, better targets enforcement resources",10/06/2019,,Driver and Vehicle Standards Agency,gov.uk,DVSA digital team,,Blog post by Neil Barlow on DVSA digital blog describing the use of AI for MOT fraud detection,https://dvsadigital.blog.gov.uk/2019/06/10/getting-smart-on-mot-fraud/,live,MOT fraud detection system,Security and Monitoring
Large Language Model,"The LLM Assistant will make changes to conform to general accessibility guidance, allowing content designers to prioritise more complex edits that require their domain expertise. Consumers of Welsh Government content, including the general public, will have access to content that is easier to understand and published without delays since feedback from the LLM takes less time to generate. One would also expect that the LLM will ensure a measurably more consistent style. Efficiency - With Dylun a piece of content can be drafted, edited (to catch common errors), approved, shared with content designers for an in-depth review which should lead to fewer changes and then publication. Capability - Dylun provides active feedback on drafts including reading age metrics and how well the draft conforms to the Welsh Government Style Guide. Users can pick up on these overtime to improve their understanding of good content design.",11/07/2025,customerhelp@gov.wales cymorth@llyw.cymru,Welsh Government,gov.uk,Data Science Unit,,"LLM-based content design assistant for GOV.WALES, simplifying and clarifying content. In development, not yet deployed.",https://www.gov.uk/algorithmic-transparency-records/welsh-government-dylun-a-content-design-assistant,planned,Dylun,Document Intelligence
"Large Language Model, Natural Language Processing","This solution has processed over 780,000 cases and saved 42,500 operational hours since its delivery into production in July 2020.",10/02/2025,,Department for Work & Pensions,gov.uk,"The Garage, Cross Boundary Team, DWP Digital",,"AI tool for matching medical conditions to DWP-recognized conditions for ESA claims, saving operational hours.",https://www.gov.uk/algorithmic-transparency-records/dwp-employment-and-support-allowance-online-medical-matching,live,Employment and Support Allowance Online Medical Matching,Decision Support
"Machine Learning, supervised",The tool is able to reduce the time spent spot-checking expenses and spending more time on targeted expense claims. The tool also helps save the department money by speeding up the identification of fraud and not paying out expenses that are fraudulent or in violation of the expenses policies.,27/02/2025,ai.governance@businessandtrade.gov.uk,Department for Business and Trade,gov.uk,Financial Governance Team,,Information extracted from the Algorithmic Transparency Record for the DBT Expenses Fraud Detector tool.,https://www.gov.uk/algorithmic-transparency-records/dbt-expenses-fraud-detector,live,DBT Expenses Fraud Detector,Decision Support
"Large Language Model, Computer Vision","Transforms complex geospatial information from static documents into digital, structured formats significantly faster, more consistently, and at lower cost than traditional manual methods. Saves time and money for councils, frees up capacity for planners, makes planning rules clearer and easier to follow, supports delivery of more homes, and lays groundwork for smarter digital planning services.",12/06/2025,,Ministry of Housing Communities and Local Government,gov.uk,Planning Data team in MHCLG's Digital Planning programme and Incubator for Artificial Intelligence (i.AI),,Blog post describing Extract AI tool for digitizing historical planning documents.,https://mhclgdigital.blog.gov.uk/2025/06/12/extract-using-ai-to-unlock-historic-planning-data/,pilot,Extract,Document Intelligence
Machine Learning,"Faster, more accurate, detailed, and personalized weather forecasts. Combines benefits of large-scale global NWP and high-resolution limited area models. Potential to produce vast numbers of possible forecasts with relatively little computational cost.",05/09/2024,,Met Office,gov.uk,Met Office and Alan Turing Institute,,Blog post by Met Office Press Office reporting on progress of AI for Numerical Weather Prediction project,https://www.metoffice.gov.uk/blog/2024/on-the-path-to-delivering-next-generation-uk-weather-forecasts,pilot,FastNet,Predictive Analytics
"Machine Learning, Other","The primary benefit the tool is expected to deliver is increased efficiency for local authorities in prioritising and inspecting food businesses, especially those within the 'awaiting inspection' category which are still awaiting their first inspection since registration. Currently, this process is manual, labour intensive and inconsistent across Local Authorities. Therefore, the use of a robust, data driven approach may allow for a more efficient utilisation of limited resources, by prioritising inspections of those businesses that are more likely to be non-compliant.",06/07/2022,strategic.surveillance@foodgov.onmicrosoft.com,Food Standards Agency,gov.uk,Regulatory Compliance Division (RCD),,AI tool for prioritizing food hygiene inspections by predicting non-compliance risk in food establishments.,https://www.gov.uk/algorithmic-transparency-records/food-standards-agency-food-hygiene-rating-scheme-ai,retired,Food Hygiene Rating Scheme (FHRS) - AI,Decision Support
"supervised, Machine Learning",The benefit of this tool is to help inform operational decisions and identify leads for DBT staff. This tool can help staff to decide which organisation to engage next but does not restrict the user from choosing themselves.,17/12/2024,ai.governance@businessandtrade.gov.uk,Department for Business and Trade,gov.uk,"Digital, Data and Technology Data Science Team",,This information is sourced from the UK government's Algorithmic Transparency Record for the DBT: Find Exporters tool.,https://www.gov.uk/algorithmic-transparency-records/dbt-find-exporters,live,Find Exporters,Predictive Analytics
"Large Language Model, Natural Language Processing",This will accelerate preparation of FRAs by automating early stage tasks to assemble risk typologies.,26/06/2025,fra-accelerator@cabinetoffice.gov.uk,Cabinet Office Public Sector Fraud Authority,gov.uk,Data Science,,"AI tool to generate initial drafts of Fraud Risk Assessments, accelerating FRA preparation by automating early stage tasks.",https://www.gov.uk/algorithmic-transparency-records/public-sector-fraud-authority-fraud-risk-assessment-accelerator,pilot,Fraud Risk Assessment Accelerator,Decision Support
Not AI,"Assists buyers and suppliers in the responsible use of AI in the procurement process, helping to mitigate risks and maximize benefits",18/09/2024,scottishprocurement@gov.scot,Scottish Government,gov.scot,Scottish Procurement,,Blog post announcing new AI guidance for public procurement in Scotland,https://blogs.gov.scot/public-procurement/2024/09/18/artificial-intelligence-ai-guidance/,live,Artificial Intelligence (AI) guidance,Not AI
"Machine Learning, Natural Language Processing","Automates the redaction of sensitive information in documents, improving efficiency and reducing manual effort in data protection processes",,,Crown Commercial Service,gov.uk,,,AI-based Automated Redaction Tool by Crown Commercial Service to identify and redact sensitive information in documents.,https://www.contractsfinder.service.gov.uk/Notice/Attachment/8ca042ea-dde4-463b-b7ea-520bb6675de0,planned,Automated Redaction Tool,Document Intelligence
Other,"Provides information and updates for patients, staff, and the community about North Tees and Hartlepool NHS Foundation Trust",,,North Tees and Hartlepool NHS Foundation Trust,NHS,,,"Summer 2023 edition of Anthem magazine for North Tees and Hartlepool NHS Trust, featuring trust activities and updates.",https://www.nth.nhs.uk/wp-content/uploads/2023/08/61-Anthem-Summer-2023-WEB.pdf,live,Anthem,Conversational AI
Not AI,"Develop AI systems to tackle local challenges, improve public services, and drive economic growth in Greater Manchester. Key benefits include: addressing skills gaps, attracting investment, creating high-value jobs, improving public services, and positioning GM as a leader in ethical AI adoption.",,,Greater Manchester Combined Authority,gov.uk,Greater Manchester Combined Authority,,Greater Manchester Combined Authority document outlines plans for AI Demonstrator City Region to address local challenges.,https://democracy.greatermanchester-ca.gov.uk/documents/s37725/12%20GM%20AI%20Demonstrator%20City%20Region.pdf,pilot,GM AI Demonstrator City Region,Not AI
Natural Language Processing,"Increases face-to-face time during appointments, automates drafting of clinic notes and letters, allows clinicians to focus more on direct patient care, improves patient experience",11/11/2024,,Great Ormond Street Hospital for Children NHS Foundation Trust,gov.uk,"GOSH Data Research, Innovation and Virtual Environments (DRIVE) unit",,"GOSH pilots AI tool TORTUS to automate clinical documentation, increasing face-to-face time with patients.",https://www.gosh.nhs.uk/news/gosh-pilots-ai-tool-to-give-clinicians-more-quality-time-with-patients/,pilot,TORTUS,Document Intelligence
"Large Language Model, Retrieval-Augmented Generation","Makes it easier for people to find answers from 700,000+ pages of GOV.UK, saves users time, provides simple and helpful tools",05/11/2024,,Government Digital Service,gov.uk,GOV.UK AI team,,Blog post by Sam Dub and Josh Davey on Inside GOV.UK blog,https://insidegovuk.blog.gov.uk/2024/11/05/were-running-a-private-beta-of-gov-uk-chat/,pilot,GOV.UK Chat,Conversational AI
Computer Vision,"Turns a regular CT scan of the heart into a 3D image allowing doctors to diagnose life-threatening coronary heart disease in just twenty minutes. Patients can be seen, diagnosed, and treated around five times quicker than before, offering more convenient care and helping NHS staff get services back on track after pandemic disruptions. Aims to reduce heart attacks and strokes by 150,000 as part of NHS Long Term Plan.",04/05/2021,,NHS England,england.nhs.uk,NHS England,,Article on NHS England website about rollout of HeartFlow technology as part of NHS Long Term Plan commitments.,https://www.england.nhs.uk/2021/05/3d-heart-scans-on-the-nhs-to-speed-up-disease-diagnosis/,live,HeartFlow,Health AI
"Large Language Model, Natural Language Processing","• Reduced cost per engagement by 92%. • Reduced carbon footprint. • Now able to engage with the public 24/7/365. • Increased community preparedness, engagement and reach, compared to previous years. • Improved insight into public behaviour.",03/06/2025,DSAI@environment-agency.gov.uk,Environment Agency,gov.uk,Engagement and Insight Team,,"Environment Agency's Algorithmic Transparency Record for Hello Lamp Post, published on GOV.UK on 3 June 2025.",https://www.gov.uk/algorithmic-transparency-records/environment-agency-hello-lamp-post,live,Hello Lamp Post,Conversational AI
